claim,prior_seasons,new_season,verdict
Pitchers keep drifting toward the league centre,63.6% inward,68.9% inward (null 56.7%),holds
Arriving pitchers are more typical than incumbents,-5.1% vs established,-2.2% vs established,holds
Crowding a shape degrades it (xwOBAcon),"+0.0106 per doubling, p=0.0011","+0.0089 per doubling, p=0.03629",holds
Recent exposure blunts a pitch,-0.42pp whiff per doubling,"-0.46pp per doubling, p=1.47e-28",holds
Four-seam usage keeps falling,35.2% -> 31.8%,30.7% (-1.09pp),holds
Slider/sweeper usage keeps rising,19.4% -> 22.8%,22.2% (-0.62pp),breaks
Splitter usage keeps rising,1.6% -> 3.4%,3.3% (-0.12pp),breaks
Splitter boom continues to draw practitioners,72 pitchers in 2021,136 pitchers,breaks
Splitter effectiveness erodes as it spreads,whiff 35.5% -> 32.5%,"whiff 32.7%, RV/100 +0.07",holds
Deathball edge erodes as adoption spreads,"peak +7.9pp in 2023, then +5.8pp","+7.6pp, 168 pitchers",breaks
Outlier advantage holds across count states,"+1.8 to +3.0pp, all 4 counts",4/4 counts positive and significant,holds
